cont;ultrasonic;laser
1;440;89
2;440;89
3;434;86
4;434;86
5;440;88
6;440;88
7;440;91
8;440;91
9;434;90
10;434;90
11;440;90
12;440;90
13;440;91
14;440;91
15;434;90
16;434;90
17;440;92
18;440;92
19;440;91
20;440;91
21;434;90
22;434;90
23;440;88
24;440;88
25;439;90
26;439;90
27;433;90
28;433;90
29;440;92
30;440;92
31;440;144
32;440;144
33;810;181
34;810;181
35;954;180
36;954;180
37;954;181
38;954;181
39;980;181
40;980;181
41;957;181
42;957;181
43;981;179
44;981;179
45;963;180
46;963;180
47;957;181
48;957;181
49;956;179
50;956;179
51;957;180
52;957;180
53;957;180
54;957;180
55;956;183
56;956;183
57;954;181
58;954;181
59;957;180
60;957;180
61;956;182
62;956;182
63;957;181
64;957;181
65;957;181
66;957;181
67;957;181
68;957;181
69;957;184
70;957;184
71;963;183
72;963;183
73;957;181
74;957;181
75;957;179
76;957;179
77;957;181
78;957;181
79;981;181
80;981;181
81;957;178
82;957;178
83;957;185
84;957;185
85;945;237
86;945;237
87;1222;241
88;1222;241
89;1246;243
90;1246;243
91;1240;243
92;1240;243
93;1273;241
94;1273;241
95;1247;241
96;1247;241
97;1246;241
98;1246;241
99;1274;239
100;1274;239
101;1274;242
102;1274;242
103;1273;241
104;1273;241
105;1241;243
106;1241;243
107;1247;240
108;1247;240
109;1241;241
110;1241;241
111;1247;241
112;1247;241
113;1246;244
114;1246;244
115;1247;242
116;1247;242
117;1246;243
118;1246;243
119;1247;241
120;1247;241
121;1246;245
122;1246;245
123;1241;275
124;1241;275
125;1650;383
126;1650;383
127;2128;388
128;2128;388
129;2152;382
130;2152;382
131;2129;386
132;2129;386
133;2128;384
134;2128;384
135;2128;384
136;2128;384
137;2128;385
138;2128;385
139;2146;384
140;2146;384
141;2129;385
142;2129;385
143;2128;386
144;2128;386
145;2128;386
146;2128;386
147;2128;382
148;2128;382
149;2128;385
150;2128;385
151;2128;388
152;2128;388
153;2129;380
154;2129;380
155;2128;387
156;2128;387
157;2128;382
158;2128;382
159;2127;383
160;2127;383
161;2128;384
162;2128;384
163;2122;385
164;2122;385
165;2128;385
166;2128;385
167;2122;384
168;2122;384
169;2152;397
170;2152;397
171;2290;444
172;2290;444
173;2582;451
174;2582;451
175;2652;452
176;2652;452
177;2630;453
178;2630;453
179;2624;452
180;2624;452
181;2624;451
182;2624;451
183;2624;454
184;2624;454
185;2624;455
186;2624;455
187;2624;448
188;2624;448
189;2624;449
190;2624;449
191;2625;447
192;2625;447
193;2630;449
194;2630;449
195;2630;454
196;2630;454
197;2630;453
198;2630;453
199;2630;451
200;2630;451
201;2624;453
202;2624;453
203;2624;443
204;2624;443
205;2624;452
206;2624;452
207;2649;456
208;2649;456
209;2708;504
210;2708;504
211;3263;506
212;3263;506
213;3288;500
214;3288;500
215;3263;507
216;3263;507
217;3264;504
218;3264;504
219;3262;506
220;3262;506
221;3263;498
222;3263;498
223;3258;501
224;3258;501
225;3263;504
226;3263;504
227;3257;508
228;3257;508
229;3264;503
230;3264;503
231;3264;500
232;3264;500
233;3264;507
234;3264;507
235;3263;505
236;3263;505
237;3263;507
238;3263;507
239;3288;501
240;3288;501
241;3263;507
242;3263;507
243;3288;504
244;3288;504
245;3259;506
246;3259;506
247;3264;503
248;3264;503
249;3258;502
250;3258;502
251;3264;506
252;3264;506
253;3258;496
254;3258;496
255;3371;519
256;3371;519
257;3724;532
258;3724;532
259;3700;508
260;3700;508
261;3676;510
262;3676;510
263;3677;510
264;3677;510
265;3718;501
266;3718;501
267;3694;501
268;3694;501
269;3694;505
270;3694;505
271;3694;502
272;3694;502
273;3670;504
274;3670;504
275;3697;503
276;3697;503
277;3672;500
278;3672;500
279;3673;509
280;3673;509
281;3721;513
282;3721;513
283;3694;502
284;3694;502
285;3694;511
286;3694;511
287;3697;511
288;3697;511
289;3694;521
290;3694;521
291;3694;505
292;3694;505
293;3694;452
294;3694;452
295;4185;422
296;4185;422
297;4324;415
298;4324;415
299;4387;410
300;4387;410
301;4312;450
302;4312;450
303;4328;500
304;4328;500
305;3981;495
306;3981;495
307;3969;519
308;3969;519
309;3963;537
310;3963;537
311;3960;500
312;3960;500
313;3960;500
314;3960;500
