cont;ultrasonic (s);laser (num);dist (cm)
1;542;108;10
2;541;106;10
3;541;106;10
4;535;108;10
5;535;108;10
6;536;107;10
7;536;107;10
8;535;107;10
9;535;107;10
10;541;105;10
11;541;105;10
12;541;107;10
13;541;107;10
14;541;107;10
15;541;107;10
16;535;107;10
17;535;107;10
18;535;105;10
19;535;105;10
20;542;104;10
21;542;104;10
22;541;108;10
23;541;108;10
24;542;105;10
25;542;105;10
26;535;107;10
27;535;107;10
28;535;107;10
29;535;107;10
30;536;105;10
31;536;105;10
32;541;110;10
33;541;110;10
34;541;107;10
35;541;107;10
36;541;105;10
37;541;105;10
38;535;107;10
39;535;107;10
40;535;108;10
41;562;205;20
42;562;205;20
43;1082;219;20
44;1082;219;20
45;1118;223;20
46;1118;223;20
47;1115;218;20
48;1115;218;20
49;1100;219;20
50;1100;219;20
51;1097;217;20
52;1097;217;20
53;1100;215;20
54;1100;215;20
55;1104;221;20
56;1104;221;20
57;1106;218;20
58;1106;218;20
59;1100;217;20
60;1100;217;20
61;1106;220;20
62;1106;220;20
63;1106;219;20
64;1106;219;20
65;1106;219;20
66;1106;219;20
67;1106;220;20
68;1106;220;20
69;1104;219;20
70;1104;219;20
71;1103;220;20
72;1103;220;20
73;1103;220;20
74;1103;220;20
75;1103;215;20
76;1103;215;20
77;1103;223;20
78;1103;223;20
79;1103;218;20
80;1103;218;20
81;1166;321;30
82;1166;321;30
83;1746;316;30
84;1746;316;30
85;1716;313;30
86;1716;313;30
87;1745;314;30
88;1745;314;30
89;1740;316;30
90;1740;316;30
91;1739;318;30
92;1739;318;30
93;1740;316;30
94;1740;316;30
95;1739;316;30
96;1739;316;30
97;1715;315;30
98;1715;315;30
99;1716;315;30
100;1716;315;30
101;1716;315;30
102;1716;315;30
103;1715;313;30
104;1715;313;30
105;1716;317;30
106;1716;317;30
107;1716;315;30
108;1716;315;30
109;1716;320;30
110;1716;320;30
111;1716;316;30
112;1716;316;30
113;1716;317;30
114;1716;317;30
115;1716;316;30
116;1716;316;30
117;1716;312;30
118;1716;312;30
119;1740;318;30
120;1740;318;30
121;1778;409;40
122;1778;409;40
123;2298;406;40
124;2298;406;40
125;2295;403;40
126;2295;403;40
127;2271;402;40
128;2271;402;40
129;2301;404;40
130;2301;404;40
131;2274;403;40
132;2274;403;40
133;2325;407;40
134;2325;407;40
135;2275;403;40
136;2275;403;40
137;2269;406;40
138;2269;406;40
139;2277;402;40
140;2277;402;40
141;2295;402;40
142;2295;402;40
143;2301;403;40
144;2301;403;40
145;2275;404;40
146;2275;404;40
147;2275;402;40
148;2275;402;40
149;2301;404;40
150;2301;404;40
151;2269;406;40
152;2269;406;40
153;2274;403;40
154;2274;403;40
155;2296;403;40
156;2296;403;40
157;2302;402;40
158;2302;402;40
159;2301;407;40
160;2301;407;40
161;2319;466;50
162;2319;466;50
163;2722;477;50
164;2722;477;50
165;2836;467;50
166;2836;467;50
167;2813;468;50
168;2813;468;50
169;2812;474;50
170;2812;474;50
171;2812;468;50
172;2812;468;50
173;2839;470;50
174;2839;470;50
175;2818;470;50
176;2818;470;50
177;2819;465;50
178;2819;465;50
179;2818;466;50
180;2818;466;50
181;2839;468;50
182;2839;468;50
183;2812;466;50
184;2812;466;50
185;2812;468;50
186;2812;468;50
187;2813;473;50
188;2813;473;50
189;2813;472;50
190;2813;472;50
191;2812;469;50
192;2812;469;50
193;2812;465;50
194;2812;465;50
195;2839;468;50
196;2839;468;50
197;2845;469;50
198;2845;469;50
199;2819;464;50
200;2819;464;50
